,category,token
1323,nc,aloquete
1324,v,aloucar
1325,v,alourar
1326,v,aloirar
1327,v,alousar
1328,nc,alpaca
1329,nc,alparca
1330,a,alpendrado
1331,v,alpendrar
1332,nc,alpendre
1333,nc,alperce
1334,a,alpestre
1335,nc,alpinismo
1336,a,alpinista
1337,adj,alpino
1338,nc,alpista
1339,nc,alpisteiro
1340,nc,alpiste
1341,nc,alqueirão
1342,v,alqueirar
1343,nc,alqueire
1344,nc,alquimia
1345,v,alquimiar
1346,adj,alquímico
1347,adj,alsaciano
1348,nc,alta
1349,adj,altaneiro
1350,nc,altar-mor
1351,nc,altar
1352,v,altear
1353,nc,alterabilidade
1354,nc,alteração
1355,a,alterador
1356,adj,alterante
1357,v,alterar
1358,adj,alterável
1359,nc,alter-ego
1360,nc,altercação
1361,adj,alterna
1362,adj,alternado
1363,a,alternador
1364,nc,alternância
1365,adj,alternante
1366,v,alternar
1367,nc,alternativa
1368,adj,alternativo
1369,nc,alter
1370,adj,alterno
1371,adj,alteroso
1372,nc,alteza
1373,adj,altifalante
1374,nc,altímetro
1375,nc,altiplano
1376,nc,altista
1377,nc,altitude
1378,nc,altivez
1379,adj,altivo
1380,adj,alto
1381,nc,alto-falante
1382,nc,alto-relevo
1383,nc,altos-fornos
1384,nc,altruísmo
1385,a,altruísta
1386,adj,altruístico
1387,nc,altura
1388,adv,aluadamente
1389,v,aluar
1390,adj,alucinante
1391,v,alucinar
1392,adj,alucinatório
1393,adj,alucinogénio
1394,v,aludir
1395,nc,alugador
1396,v,alugar
1397,nc,aluguer
1398,v,aluir
1399,v,alumiar
1400,nc,aluminato
1401,nc,alumínio
1402,nc,alunagem
1403,v,alunar
1404,nc,aluno
1405,nc,alusão
1406,adj,alusivo
1407,adj,aluvial
1408,nc,aluvião
1409,v,aluviar
1410,adj,aluvionar
1411,nc,alva
1412,nc,alvará
1413,nc,alvares
1414,nc,alvarinho
1415,adj,alvejante
1416,v,alvejar
1417,nc,alvenaria
1418,nc,alvéola
1419,adj,alveolar
